playerID, gamesPlayed, passPercentage, completions, attempts, passingYards, passingTD, interceptions, rushingAttempts, rushingYards, rushingTD, receptions, recievingYards, recievingTD
1, 12, 65.8, 229, 348, 3170, 24, 6, 32, -65, 0, 0, 0, 0
2, 10, 0, 0, 0, 0, 0, 0, 156, 926, 11, 19, 229, 0
3, 12, 0, 0, 0, 0, 0, 0, 2, 26, 1, 67, 1211, 14
4, 10, 0, 0, 1, 0, 0, 0, 5, 25, 0, 41, 515, 4
5, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 264, 1
6, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 576, 5
7, 12, 64.5, 256, 397, 2801, 22, 13, 138, 428, 6, 1, 28, 1
8, 12, 0, 0, 0, 0, 0, 0, 99, 464, 3, 15, 81, 0
9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 404, 6
10, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 815, 3
11, 10, 50.0, 1, 2, 28, 1, 0, 2, -3, 0, 46, 577, 6
12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 94, 0
13, 72.4, 302, 417, 3941, 24, 6, 60, 116, 4, 0, 0, 0
14, 13, 0, 0, 0, 0, 0, 0, 121, 790, 14, 4, 25, 0
15, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 613, 4
16, 9, 0, 0, 0, 0, 0, 0, 2, 38, 1, 30, 478, 2
17, 14, 0, 0, 0, 0, 0, 0, 1, 33, 0, 8, 153, 2
18, 10, 0, 0, 0, 0, 0, 0, 6, 28, 1, 56, 714, 6
19, 12, 72.2, 236, 327, 3812, 40, 4, 135, 1134, 10, 0, 0, 0
20, 10, 0, 0, 0, 0, 0, 0, 119, 653, 7, 8, 82, 0
21, 13, 0, 0, 0, 0, 0, 0, 1, 1, 0, 89, 1569, 14
22, 13, 0, 0, 0, 0, 0, 0, 1, -6, 0, 68, 1177, 17
23, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 558, 7
24, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 348, 1
25, 12, 64.7, 229, 354, 2813, 20, 5, 78, 299, 7, 1, 6, 0
26, 12, 0, 0, 0, 0, 0, 0, 106, 604, 7, 17, 175, 1
27, 13, 0, 0, 0, 0, 0, 0, 2, 13, 0, 67, 803, 2
28, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 642, 6
29, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 224, 1
30, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 283, 5
